title,directedBy,starring,imdbId,item_id
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci",0040522,3089
Kagemusha (1980),Akira Kurosawa,"Kenichi Hagiwara, Tatsuya Nakadai, Jinpachi Nezu, Tsutomu Yamazaki",0080979,3091
McCabe & Mrs. Miller (1971),Robert Altman,"Warren Beatty, Julie Christie, Rene Auberjonois, William Devane, John Schuck, Corey Fischer, Bert Remsen, Shelley Duvall, Keith Carradine, Michael Murphy, Jack Riley, Wayne Grace, ",0067411,3093
Maurice (1987),James Ivory,"Denholm Elliott, Hugh Grant, Rupert Graves, James Wilby",0093512,3094
"Shop Around the Corner, The (1940)",Ernst Lubitsch,"James Stewart, Margaret Sullavan, Frank Morgan, Joseph Schildkraut, Felix Bressart, William Tracy",0033045,3097
"Natural, The (1984)",Barry Levinson,"Robert Duvall, Robert Redford, Kim Basinger, Glenn Close",0087781,3098
Shampoo (1975),Hal Ashby,"Warren Beatty, Julie Christie, Lee Grant, Goldie Hawn",0073692,3099
Come See the Paradise (1990),Alan Parker,"Dennis Quaid, Sab Shimono, Shizuko Hoshi, Tamlyn Tomita",0099291,3106
Backdraft (1991),Ron Howard,"William Baldwin, Robert De Niro, Kurt Russell, Donald Sutherland",0101393,3107
"Fisher King, The (1991)",Terry Gilliam,"Jeff Bridges, David Hyde Pierce, Lara Harris, Mercedes Ruehl, Kathy Najimy, Harry Shearer, Jayce Bartok, Dan Futterman, Robin Williams, Amanda Plummer, Michael Jeter, Richard LaGravenese, Carlos Carrasco, Tom Waits",0101889,3108
Places in the Heart (1984),Robert Benton,"Sally Field, Lindsay Crouse, Ed Harris, Amy Madigan, John Malkovich, Danny Glover, Lane Smith, Terry O'Quinn, Ray Baker, ",0087921,3111
Toy Story 2 (1999),"John Lasseter, Ash Brannon, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, Wayne Knight, John Morris, Laurie Metcalf, Estelle Harris, Jodi Benson, Joe Ranft, Andrew Stanton, R. Lee Ermey, Jonathan Harris, Jeff Pidgeon, Dave Foley, Robert Goulet",0120363,3114
Bay of Blood (a.k.a. Twitch of the Death Nerve) (Reazione a catena) (1971),Mario Bava,"Claudine Auger, Luigi Pistilli, Claudio Camaso",0067656,3119
"End of the Affair, The (1999)",Neil Jordan,"Ralph Fiennes, Stephen Rea, Heather-Jay Jones, Julianne Moore",0172396,3125
Bonfire of the Vanities (1990),Brian De Palma,"Bruce Willis, Tom Hanks, Melanie Griffith, Kim Cattrall, Saul Rubinek, Morgan Freeman, Clifton James",0099165,3130
"Great Santini, The (1979)",Lewis John Carlino,"Robert Duvall, Michael O'Keefe, Blythe Danner, Lisa Jane Persky",0079239,3135
"Two Jakes, The (1990)",Jack Nicholson,"Jack Nicholson, Harvey Keitel, Meg Tilly, Madeleine Stowe, Eli Wallach, Rubén Blades, Frederic Forrest, David Keith, Richard Farnsworth, Tracey Walter, Joe Mantell, James Hong, Perry Lopez, Faye Dunaway, Tom Waits",0100828,3141
Hell in the Pacific (1968),John Boorman,"Lee Marvin, Toshirô Mifune",0063056,3143
"Cider House Rules, The (1999)",Lasse Hallström,"Delroy Lindo, Tobey Maguire, Paul Rudd, Charlize Theron, Michael Caine",0124315,3148
"War Zone, The (1999)",Tim Roth,"Tilda Swinton, Colin Farrell, Ray Winstone, Freddie Cunliffe, Lara Belmont, Aisling O'Sullivan",0141974,3150
"Last Picture Show, The (1971)",Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Ben Johnson, Cybill Shepherd, Cloris Leachman",0067328,3152
"7th Voyage of Sinbad, The (1958)",Nathan Juran,"Richard Eyer, Kerwin Mathews, Torin Thatcher, Kathryn Grant",0051337,3153
Bicentennial Man (1999),Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson, Hallie Kate Eisenberg, John Michael Higgins, Bradley Whitford, Stephen Root, ",0182789,3156
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Kaige Chen,"Li Gong, Fengyi Zhang, Zhou Sun, Xiaohe Lu, Zhiwen Wang, Kaige Chen",0162866,3158
Topsy-Turvy (1999),Mike Leigh,"Allan Corduner, Jim Broadbent, Ron Cook, Lesley Manville, Timothy Spall, Wendy Nottingham, Martin Savage, Eleanor David, Shirley Henderson, Dorothy Atkinson, Vincent Franklin",0151568,3163
Boiling Point (1993),James B. Harris,"Dennis Hopper, Viggo Mortensen, Wesley Snipes, Lolita Davidovich",0106455,3165
Carnal Knowledge (1971),Mike Nichols,"Jack Nicholson, Candice Bergen, Art Garfunkel, 	Ann-Margret, Rita Moreno, Cynthia O'Neal, Carol Kane",0066892,3167
Easy Rider (1969),Dennis Hopper,"Peter Fonda, Dennis Hopper, Jack Nicholson, Antonio Mendoza, Phil Spector, Luana Anders, Sabrina Scharf, Robert Walker Jr., Sandy Brown Wyeth",0064276,3168
Room at the Top (1959),Jack Clayton,"Laurence Harvey, Donald Wolfit, Heather Sears, Simone Signoret",0053226,3171
Man on the Moon (1999),Milos Forman,"Jim Carrey, Gerry Becker, Leslie Lyles, George Shapiro, Danny DeVito, Richard Belzer, Michael Kelly, Vincent Schiavelli, Paul Giamatti, Randall Carver, Brent Briscoe, Patton Oswalt, Reiko Aylesworth, Michael Villani, Jerry Lawler, Bob Zmuda, Caroline Rhea, Mary Lynn Rajskub, Tracey Walter, David Koechner, Emmy Collins, Jeff Conaway, Marilu Henner, Judd Hirsch, Carol Kane, David Letterman, Christopher Lloyd, Courtney Love, Norm MacDonald, Christina Marie, Lorne Michaels, J. Alan Thomas",0125664,3174
Galaxy Quest (1999),Dean Parisot,"Tim Allen, Alan Rickman, Tony Shalhoub, Sigourney Weaver, Sam Rockwell",0177789,3175
"Talented Mr. Ripley, The (1999)",Anthony Minghella,"Matt Damon, Jude Law, Cate Blanchett, Gwyneth Paltrow, Philip Seymour Hoffman, Jack Davenport, Philip Baker Hall",0134119,3176
Next Friday (2000),Steve Carr,"Ice Cube, Tamala Jones, Mike Epps, Don 'D.C.' Curry, John Witherspoon",0195945,3177
Titus (1999),Julie Taymor,"Alan Cumming, Anthony Hopkins, Harry J. Lennix, Jessica Lange",0120866,3181
"Third Miracle, The (1999)",Agnieszka Holland,"Ed Harris, Ivan Lukac, Patrik Minar, Pavol Simon, Sofia Polanska, Anne Heche ",0174268,3183
Snow Falling on Cedars (1999),Scott Hicks,"Reeve Carney, Ethan Hawke, Youki Kudoh, Ann Suzuki",0120834,3185
"Girl, Interrupted (1999)",James Mangold,"Clea DuVall, Angelina Jolie, Brittany Murphy, Winona Ryder, Elisabeth Moss, Jared Leto, Vanessa Redgrave, Whoopi Goldberg",0172493,3186
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",Santosh Sivan,"Ayesha Dharker, K. Krishna, Sonu Sisupal",0169302,3192
"Way We Were, The (1973)",Sydney Pollack,"Bradford Dillman, Robert Redford, Lois Chiles, Barbra Streisand",0070903,3194
"Presidio, The (1988)",Peter Hyams,"Sean Connery, Mark Harmon, Jack Warden, Meg Ryan",0095897,3197
"Last Detail, The (1973)",Hal Ashby,"Clifton James, Jack Nicholson, Randy Quaid, Otis Young",0070290,3200
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Werner Herzog,"Helmut Döring, Gerd Gickel, Paul Glauer",0065436,3202
Dead Calm (1989),Phillip Noyce,"Rod Mullinar, Sam Neill, Billy Zane, Nicole Kidman",0097162,3203
Black Sunday (La maschera del demonio) (1960),Mario Bava,"Barbara Steele, John Richardson, Andrea Checchi, Ivo Garrani, Arturo Dominici",0054067,3205
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),Gene Quintano,"Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry, Kathy Ireland, Frank McRae, William Shatner, Bill Nunn, Joyce Brothers, Lin Shaye, Vito Scotti, James Doohan, Richard Moll, F. Murray Abraham, Charlie Sheen, Denis Leary, Denise Richards, Karman Kruschke, Corey Feldman, Phil Hartman, J.T. Walsh, Erik Estrada, Larry Wilcox, Paul Gleason, Allyce Beasley, Charles Napier, Charles Cyphers, Danielle Nicolet, Beverly Johnson, Whoopi Goldberg, Christopher Lambert, Bruce Willis",0107659,3208
Fast Times at Ridgemont High (1982),Amy Heckerling,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus, Phoebe Cates, Ray Walston, Nicolas Cage",0083929,3210
Batman: Mask of the Phantasm (1993),Eric Radomski,"Hart Bochner, Kevin Conroy, Stacy Keach, Dana Delany",0106364,3213
Poison (1991),Todd Haynes,"Buck Smith, Anne Giotta, Edith Meeks, Millie White",0102687,3218
Pacific Heights (1990),John Schlesinger,"Michael Keaton, Mako, Matthew Modine, Melanie Griffith",0100318,3219
"Zed & Two Noughts, A (1985)",Peter Greenaway,"Brian Deacon, Eric Deacon, Frances Barber, Andréa Ferréol",0090366,3223
Seven Chances (1925),Buster Keaton,"T. Roy Barnes, Snitz Edwards, Buster Keaton, Ruth Dwyer",0016332,3232
Where the Buffalo Roam (1980),Art Linson,"Rene Auberjonois, Peter Boyle, Bruno Kirby, Bill Murray",0081748,3235
Encino Man (1992),Les Mayfield,"Sean Astin, Brendan Fraser, Pauly Shore, Megan Ward",0104187,3243
"Goodbye Girl, The (1977)",Herbert Ross,"Paul Benedict, Richard Dreyfuss, Quinn Cummings, Marsha Mason",0076095,3244
Malcolm X (1992),Spike Lee,"Al Freeman Jr., Albert Hall, Denzel Washington, Angela Bassett",0104797,3246
Sister Act (1992),Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes, Harvey Keitel, Bill Nunn, Richard Portnow, Ellen Albertini Dow, Pat Crawford Brown, Jenifer Lewis, A.J. Johnson, Nicky Katt",0105417,3247
"Hand That Rocks the Cradle, The (1992)",Curtis Hanson,"Ernie Hudson, Matt McCoy, Rebecca De Mornay, Annabella Sciorra, Julianne Moore",0104389,3249
Scent of a Woman (1992),Martin Brest,"Chris O'Donnell, Al Pacino, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman",0105323,3252
Wayne's World (1992),Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Brian Doyle-Murray, Lara Flynn Boyle, Michael DeLuise, Dan Bell, Lee Tergesen, Kurt Fuller, Colleen Camp, Donna Dixon, Mike Hagerty, Chris Farley, Meat Loaf, Robert Patrick, Ione Skye, Alice Cooper, Ed O'Neill, ",0105793,3253
"League of Their Own, A (1992)",Penny Marshall,"Tom Hanks, Geena Davis, Lori Petty, Rosie O'Donnell, Bill Pullman, Don S. Davis, Madonna, Jon Lovitz, David Strathairn",0104694,3255
Patriot Games (1992),Phillip Noyce,"Harrison Ford,Anne Archer,Patrick Bergin,Sean Bean,Thora Birch,James Fox,Samuel L. Jackson,Polly Walker,J.E. Freeman,James Earl Jones,Richard Harris,Alex Norton,Hugh Fraser,David Threlfall,Alun Armstrong,Berlinda Tolbert,Hugh Ross,Pip Torrens,P.H. Moriarty,Ellen Geer,Shaun Duke,Ted Raimi,Jesse D. Goins,Bob Gunton,Keith Campbell",0105112,3256
Far and Away (1992),Ron Howard,"Tom Cruise, Thomas Gibson, Robert Prosky, Nicole Kidman",0104231,3259
Singles (1992),Cameron Crowe,"Campbell Scott, Bridget Fonda, Kyra Sedgwick, Matt Dillon, Bill Pullman, Jeff Ament, Eric Stoltz",0105415,3261
Twin Peaks: Fire Walk with Me (1992),David Lynch,"Sheryl Lee, Ray Wise, Mädchen Amick, Dana Ashbrook, Phoebe Augustine, David Bowie, Miguel Ferrer, Pamela Gidley, Heather Graham, Chris Isaak, Moira Kelly, Peggy Lipton, David Lynch, James Marshall, Jürgen Prochnow, Harry Dean Stanton, Kiefer Sutherland, Lenny von Dohlen, Grace Zabriskie, Kyle MacLachlan, Frances Bay, Victor Rivers, ",0105665,3262
Buffy the Vampire Slayer (1992),Fran Rubel Kuzui,"Rutger Hauer, Paul Reubens, Donald Sutherland, Kristy Swanson, Luke Perry, Hilary Swank, David Arquette, Stephen Root",0103893,3264
Hard-Boiled (Lat sau san taam) (1992),John Woo,"Chow Yun-Fat, Tony Leung Chiu Wai, Teresa Mo, Philip Chan, Philip Kwok",0104684,3265
Man Bites Dog (C'est arrivé près de chez vous) (1992),Rémy Belvaux,"Benoît Poelvoorde, Jacqueline Poelvoorde-Pappaert, Nelly Pappaert, Hector Pappaert",0103905,3266
Stop! Or My Mom Will Shoot (1992),Roger Spottiswoode,"Roger Rees, Sylvester Stallone, Estelle Getty, JoBeth Williams",0105477,3268
Forever Young (1992),Steve Miner,"Mel Gibson, Elijah Wood, Jamie Lee Curtis, Isabel Glasser",0104291,3269
Single White Female (1992),Barbet Schroeder,"Bridget Fonda, Jennifer Jason Leigh, Peter Friedman, Steven Weber",0105414,3274
Minnie and Moskowitz (1971),John Cassavetes,"Val Avery, Timothy Carey, Seymour Cassel, Gena Rowlands",0067433,3283
Not One Less (Yi ge dou bu neng shao) (1999),Yimou Zhang,"Minzhi Wei, Huike Zhang, Zhenda Tian, Enman Gao, Zhimei Sun",0209189,3289
Eaten Alive (1977),Tobe Hooper,"Neville Brand, Mel Ferrer, Marilyn Burns, Carolyn Jones",0074455,3294
"Whole Nine Yards, The (2000)",Jonathan Lynn,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Mark Camacho, Rumer Willis",0190138,3301
Blue Collar (1978),Paul Schrader,"Ed Begley Jr., Harvey Keitel, Yaphet Kotto, Richard Pryor",0077248,3304
Reindeer Games (2000),John Frankenheimer,"Ben Affleck, Dennis Farina, Gary Sinise, Charlize Theron",0184858,3316
Wonder Boys (2000),Curtis Hanson,"Michael Douglas, Robert Downey Jr., Tobey Maguire, Frances McDormand, Katie Holmes",0185014,3317
Drowning Mona (2000),Nick Gomez,"Danny DeVito, Bette Midler, Neve Campbell, Jamie Lee Curtis, Casey Affleck, William Fichtner, Marcus Thomas, Peter Dobson, Kathleen Wilhoite, Tracey Walter, Will Ferrell, Paul Ben-Victor, Paul Schulze, Mark Pellegrino, Raymond O'Connor, Melissa McCarthy, Brian Doyle-Murray, Yul Vazquez",0186045,3324
"Next Best Thing, The (2000)",John Schlesinger,"Benjamin Bratt, Rupert Everett, Illeana Douglas, Madonna ",0156841,3325
What Planet Are You From? (2000),Mike Nichols,"John Goodman, Greg Kinnear, Garry Shandling, Annette Bening",0181151,3326
Ghost Dog: The Way of the Samurai (1999),Jim Jarmusch,"Forest Whitaker, John Tormey, Cliff Gorman, Dennis Liu, Frank Minuccim, Richard Portnow, Tricia Vessey, Henry Silva, Victor Argo",0165798,3328
"Killing of Sister George, The (1968)",Robert Aldrich,"Ronald Fraser, Coral Browne, Beryl Reid, Susannah York",0063185,3333
Key Largo (1948),John Huston,"Lionel Barrymore, Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Claire Trevor",0040506,3334
Jail Bait (1954),Edward D. Wood Jr.,"Herbert Rawlinson, Steve Reeves, Lyle Talbot, Dolores Fuller",0047127,3335
Birdy (1984),Alan Parker,"Sandy Baron, Nicolas Cage, John Harkins, Matthew Modine",0086969,3342
Blood Feast (1963),Herschell Gordon Lewis,"Mal Arnold, William Kerwin, Lyn Bolton, Connie Mason",0056875,3344
"Raisin in the Sun, A (1961)",Daniel Petrie,"Sidney Poitier, Ruby Dee, Claudia McNeil, Diana Sands, Louis Gossett Jr.",0055353,3350
"Ninth Gate, The (1999)",Roman Polanski,"Johnny Depp, Frank Langella, Lena Olin, Emmanuelle Seigner",0142688,3355
Defending Your Life (1991),Albert Brooks,"Gary Beach, Albert Brooks, Michael Durrell, James Eckhouse, Meryl Streep",0101698,3358
Breaking Away (1979),Peter Yates,"Dennis Christopher, Jackie Earle Haley, Dennis Quaid, Daniel Stern, Paul Dooley",0078902,3359
Hoosiers (a.k.a. Best Shot) (1986),David Anspaugh,"Gene Hackman, Dennis Hopper, Sheb Wooley, Barbara Hershey",0091217,3360
Dog Day Afternoon (1975),Sidney Lumet,"Al Pacino, John Cazale, Charles Durning, Sully Boyar, Penelope Allen, Beulah Garrick, Chris Sarandon",0072890,3362
"Asphalt Jungle, The (1950)",John Huston,"Sam Jaffe, Louis Calhern, Sterling Hayden, James Whitmore, Jean Hagen, Marilyn Monroe",0042208,3364
"Devil's Brigade, The (1968)",Andrew V. McLaglen,"Vince Edwards, William Holden, Andrew Prine, Cliff Robertson, Richard Jaeckel",0062886,3367
Betrayed (1988), Costa-Gavras,"Tom Berenger, John Heard, Betsy Blair, Debra Winger",0094731,3370
Bound for Glory (1976),Hal Ashby,"David Carradine, Ronny Cox, Melinda Dillon, Gail Strickland",0074235,3371
"Bridge at Remagen, The (1969)",John Guillermin,"Bradford Dillman, Ben Gazzara, George Segal, Robert Vaughn",0064110,3372
"Taking of Pelham One Two Three, The (1974)",Joseph Sargent,"Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo, Earl Hindman",0072251,3384
JFK (1991),Oliver Stone,"Sally Kirkland, Kevin Costner, Jay O. Sanders, Edward Asner, Jack Lemmon, Vincent D'Onofrio, Gary Oldman, Sissy Spacek, Brian Doyle-Murray, Wayne Knight, Michael Rooker, Laurie Metcalf, Gary Grubbs, Joe Pesci, Walter Matthau, Pruitt Taylor Vince, Tony Plana, Tommy Lee Jones, John Candy, Kevin Bacon, Edwin Neal, Donald Sutherland, Dale Dye, Bob Gunton, Lolita Davidovich, John Larroquette, Ron Rifkin, Frank Whaley, Martin Sheen",0102138,3386
Who's Harry Crumb? (1989),Paul Flaherty,"John Candy, Jeffrey Jones, Tim Thomerson, Annie Potts",0098645,3387
Harry and the Hendersons (1987),William Dear,"John Lithgow, Melinda Dillon, Margaret Langrick, Joshua Rudoy, Don Ameche",0093148,3388
She-Devil (1989),Susan Seidelman,"Ed Begley Jr., Linda Hunt, Roseanne , Meryl Streep",0098309,3392
"Muppet Movie, The (1979)",James Frawley,"Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt,Dave Goelz,Charles Durning,Austin Pendleton,Edgar Bergen,Milton Berle,Mel Brooks,James Coburn,Dom DeLuise,Elliott Gould,Bob Hope,Madeline Kahn,Carol Kane,Cloris Leachman,Steve Martin,Richard Pryor,Telly Savalas,Orson Welles,Paul Williams,H.B. Haggerty,Bruce Kirby,Steve Whitmire,Michael Earl,Caroll Spinney,,Bob Baker,Tim Burton,Melinda Dillon,Earl Kress,John Landis",0079588,3396
Titanic (1953),Jean Negulesco,"Robert Wagner, Clifton Webb, Audrey Dalton, Barbara Stanwyck",0046435,3404
"Night to Remember, A (1958)",Roy Ward Baker,"Ronald Allen, Robert Ayres, Kenneth More, Honor Blackman",0051994,3405
Erin Brockovich (2000),Steven Soderbergh,"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Conchata Ferrell",0195685,3408
"Mirror, The (Zerkalo) (1975)",Andrei Tarkovsky,"Margarita Terekhova, Ignat Daniltsev, Larisa Tarkovskaya, Alla Demidova",0072443,3415
Thelma & Louise (1991),Ridley Scott,"Harvey Keitel, Michael Madsen, Geena Davis, Susan Sarandon, Brad Pitt",0103074,3418
...And Justice for All (1979),Norman Jewison,"John Forsythe, Al Pacino, Lee Strasberg, Jack Warden",0078718,3420
Animal House (1978),John Landis,"John Belushi, Stephen Furst, Tom Hulce, Mark Metcalf, Mary Louise Weller, Tim Matheson, Kevin Bacon, Donald Sutherland, Martha Smith, Karen Allen",0077975,3421
Do the Right Thing (1989),Spike Lee,"Danny Aiello, Ossie Davis, Richard Edson, Ruby Dee, Spike Lee, John Turturro, Rosie Perez",0097216,3424
Coogan's Bluff (1968),Don Siegel,"Lee J. Cobb, Clint Eastwood, Susan Clark, Tisha Sterling",0062824,3427
Creature Comforts (1989),Nick Park,Julie Sedgewick,0099317,3429
Death Wish 2 (1982),Michael Winner,"Charles Bronson, J.D. Cannon, Vincent Gardenia, Jill Ireland",0082250,3431
Death Wish 3 (1985),Michael Winner,"Martin Balsam, Charles Bronson, Ed Lauter, Deborah Raffin",0089003,3432
Death Wish 5: The Face of Death (1994),Allan A. Goldstein,"Charles Bronson, Michael Parks, Chuck Shamata, Lesley-Anne Down",0109578,3434
Dying Young (1991),Joel Schumacher,"Vincent D'Onofrio, Campbell Scott, Colleen Dewhurst, Julia Roberts",0101787,3436
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Michael Pressman,"Mark Caso, Michelan Sisti, Leif Tilden, David Warner, Paige Turco",0103060,3439
Teenage Mutant Ninja Turtles III (1993),Stuart Gillard,"Elias Koteas, Sab Shimono, Stuart Wilson, Paige Turco",0108308,3440
Eyes of Laura Mars (1978),Irvin Kershner,"Rene Auberjonois, Brad Dourif, Tommy Lee Jones, Faye Dunaway",0077530,3445
Guess Who's Coming to Dinner (1967),Stanley Kramer,"Sidney Poitier, Spencer Tracy, Katharine Hepburn, Katharine Houghton",0061735,3451
Here on Earth (2000),Mark Piznarski,"Josh Hartnett, Chris Klein, Michael Rooker, Leelee Sobieski",0195778,3453
"Color of Paradise, The (Rang-e khoda) (1999)",Majid Majidi,"Hossein Mahjoub, Mohsen Ramezani, Salameh Feyzi, Farahnaz Safari, Elham Sharifi",0191043,3456
Modern Times (1936),Charles Chaplin,"Henry Bergman, Charles Chaplin, Tiny Sandford, Paulette Goddard",0027977,3462
"Hustler, The (1961)",Robert Rossen,"Jackie Gleason, Paul Newman, George C. Scott, Piper Laurie",0054997,3468
Inherit the Wind (1960),Stanley Kramer,"Gene Kelly, Fredric March, Harry Morgan, Spencer Tracy, Dick York",0053946,3469
Retroactive (1997),Louis Morneau,"James Belushi, Frank Whaley, Kylie Travis, Shannon Whirry",0117468,3474
"Place in the Sun, A (1951)",George Stevens,"Montgomery Clift, Anne Revere, Elizabeth Taylor, Shelley Winters",0043924,3475
"Bamba, La (1987)",Luis Valdez,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña, Danielle von Zerneck",0093378,3478
Lucas (1986),David Seltzer,"Corey Haim, Kerri Green, Charlie Sheen, Courtney Thorne-Smith, Winona Ryder",0091445,3480
"Skulls, The (2000)",Rob Cohen,"Hill Harper, Joshua Jackson, Paul Walker, Leslie Bibb",0192614,3484
El Dorado (1966),Howard Hawks,"John Wayne, Robert Mitchum, James Caan, Charlene Holt",0061619,3487
Network (1976),Sidney Lumet,"William Holden, Faye Dunaway, Peter Finch, Robert Duvall, Ned Beatty, Beatrice Straight",0074958,3504
No Way Out (1987),Roger Donaldson,"Kevin Costner, Gene Hackman, Will Patton, Sean Young",0093640,3505
North Dallas Forty (1979),Ted Kotcheff,"Mac Davis, Charles Durning, Nick Nolte, Dayle Haddon",0079640,3506
Black and White (1999),James Toback,"Scott Caan, Robert Downey Jr., Stacy Edwards, Allan Houston, Gaby Hoffmann, Kidada Jones, Jared Leto, Marla Maples, Joe Pantoliano, Bijou Phillips, Oliver 'Power' Grant, Raekwon, Claudia Schiffer, William Lee Scott, Brooke Shields, Ben Stiller, Eddie Kaye Thomas, James Toback, Mike Tyson, Elijah Wood, Brett Ratner, Method Man, Inspectah Deck, Ghostface Killah, Sticky Fingaz, George Wayne, Thaddaeus Birkett, Chip Banks, Frank Pesce, Chuck Zito, Pell James, Fredro Starr",0165643,3509
Frequency (2000),Gregory Hoblit,"James Caviezel, Shawn Doyle, Dennis Quaid, Elizabeth Mitchell",0186151,3510
Return to Me (2000),Bonnie Hunt,"David Duchovny, Robert Loggia, Carroll O'Connor, Minnie Driver",0122459,3512
Me Myself I (2000),Pip Karmel,"Rachel Griffiths, David Roberts, Sandy Winton, Yael Stone, Shaun Loseby",0183503,3515
Force 10 from Navarone (1978),Guy Hamilton,"Harrison Ford, Edward Fox, Robert Shaw, Barbara Bach",0077572,3519
Mystery Train (1989),Jim Jarmusch,"Masatoshi Nagase, Youki Kudoh, Screamin' Jay Hawkins, Cinqué Lee, Nicoletta Braschi, Steve Buscemi, Joe Strummer",0097940,3521
Sacco and Vanzetti (Sacco e Vanzetti) (1971),Giuliano Montaldo,"Gian Maria Volonté, Riccardo Cucciolla, Cyril Cusack, Rosanna Fratello, Geoffrey Keen, Milo O'Shea",0067698,3522
Parenthood (1989),Ron Howard,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards, Rick Moranis, Tom Hulce, Martha Plimpton, Keanu Reeves, Harley Jane Kozak, Dennis Dugan, Joaquin Phoenix, Eileen Ryan",0098067,3526
Predator (1987),John McTiernan,"Bill Duke, Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo",0093773,3527
"Postman Always Rings Twice, The (1981)",Bob Rafelson,"John Colicos, Michael Lerner, Jack Nicholson, Jessica Lange",0082934,3529
28 Days (2000),Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins",0191754,3534
American Psycho (2000),Mary Harron,"Christian Bale, Josh Lucas, Bill Sage, Justin Theroux, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Jared Leto, Willem Dafoe",0144084,3535
Keeping the Faith (2000),Edward Norton,"Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft, Eli Wallach, Ron Rifkin, Milos Forman, Holland Taylor, Lisa Edelstein, Rena Sofer, Ken Leung, Brian George, Catherine Lloyd Burns, Susie Essman, Paul Hogan",0171433,3536
East is East (1999),Damien O'Donnell,"Om Puri, Linda Bassett, Jimi Mistry, Emma Rydal, Ruth Jones",0166175,3538
Auntie Mame (1958),Morton DaCosta,"Fred Clark, Forrest Tucker, Coral Browne, Rosalind Russell",0051383,3548
Guys and Dolls (1955),Joseph L. Mankiewicz,"Marlon Brando, Frank Sinatra, Vivian Blaine, Jean Simmons",0048140,3549
The Hunger (1983),Tony Scott,"Catherine Deneuve,David Bowie,Susan Sarandon,Cliff De Young,Dan Hedaya,Suzanne Bertish,Ann Magnuson,John Pankow,Willem Dafoe,Sophie Ward",0085701,3550
Caddyshack (1980),Harold Ramis,"Chevy Chase, Rodney Dangerfield, Ted Knight, Bill Murray, Michael O'Keefe",0080487,3552
Gossip (2000),Davis Guggenheim,"James Marsden, Joshua Jackson, Lena Headey, Norman Reedus, Kate Hudson, Eric Bogosian",0176783,3553
Love and Basketball (2000),Gina Prince-Bythewood,"Sanaa Lathan, Omar Epps, Alfre Woodard, Dennis Haysbert, Chris Warren Jr., Kyla Pratt, Harry Lennix, Debbi Morgan, Regina Hall, Shar Jackson, Gabrielle Union, Boris Kodjoe, Tyra Banks",0199725,3554
U-571 (2000),Jonathan Mostow,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes, Erik Palladino, ",0141926,3555
"Virgin Suicides, The (1999)",Sofia Coppola,"Josh Hartnett, James Woods, Kirsten Dunst, Kathleen Turner",0159097,3556
Jennifer 8 (1992),Bruce Robinson,"Andy Garcia, Lance Henriksen, Uma Thurman, Kathy Baker, John Malkovich, Kevin Conway",0104549,3557
Limelight (1952),Charles Chaplin,"Nigel Bruce, Charles Chaplin, Buster Keaton, Claire Bloom",0044837,3559
Where the Heart Is (2000),Matt Williams,"Stockard Channing, Joan Cusack, Ashley Judd, Natalie Portman",0198021,3565
